territorial,fecha_registro,pr,distancia_pr,fecha_acc,dia_semana_acc,min_acc,condic_meteor,estado_super,terreno,secc_tip,geometria_acc,tipo_cierre,horas_cierre,min_cierre,n_heridos,n_muertos,n_victimas,clase_accidente,causa_posible,ref_loc,hora_acc,duracion_cierre_horas
San Andres y Providencia,2018-03-06 16:52:00,22,900.0,2018-02-25 05:00:00,domingo,3,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,2,0,1.0,Choque,maniobras imprudentes,0101_0_22,13.0,11.0
San Andres y Providencia,2018-03-06 16:51:00,21,940.0,2018-02-17 05:00:00,sabado,36,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,3,0,1.0,Choque,embriaguez o sustancias alucinogenas,0101_0_21,10.0,14.0
San Andres y Providencia,2018-03-06 16:46:00,1,500.0,2018-02-03 05:00:00,sabado,0,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,2,0,1.0,Choque,maniobras imprudentes,0101_0_1,16.0,8.0
San Andres y Providencia,2018-03-06 16:44:00,26,800.0,2018-01-27 05:00:00,sabado,0,Seca,Seca y limpia,Plano,Terraplen,Curva Derecha,Transito normal con precaución,0,0,3,0,1.0,Choque,maniobras imprudentes,0101_0_26,9.0,15.0
San Andres y Providencia,2018-03-06 16:42:00,16,300.0,2018-01-24 05:00:00,miercoles,40,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,2,0,1.0,Choque,maniobras imprudentes,0101_0_16,18.0,6.0
San Andres y Providencia,2018-03-06 16:40:00,20,150.0,2018-01-21 05:00:00,domingo,18,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Choque,embriaguez o sustancias alucinogenas,0101_0_20,11.0,13.0
San Andres y Providencia,2018-03-06 16:34:00,23,800.0,2018-01-04 05:00:00,jueves,30,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,0,0,3,1,1.0,Choque,desobediencia a normas y senales,0101_0_23,7.0,17.0
San Andres y Providencia,2018-03-06 16:34:00,23,800.0,2018-01-04 05:00:00,jueves,30,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,0,0,3,1,1.0,Choque,desobediencia a normas y senales,0101_0_23,14.0,10.0
San Andres y Providencia,2018-03-06 16:34:00,23,800.0,2018-01-04 05:00:00,jueves,30,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,0,0,3,1,1.0,Choque,desobediencia a normas y senales,0101_0_23,23.0,1.0
San Andres y Providencia,2018-01-19 15:20:00,2,200.0,2017-12-04 05:00:00,lunes,0,Seca,Seca y limpia,Plano,Terraplen,Curva Izquierda,Transito normal con precaución,0,0,1,0,1.0,Choque,estacionamiento y senalizacion imprudente,0101_0_2,8.0,16.0
San Andres y Providencia,2018-01-16 13:24:00,24,0.0,2017-12-18 05:00:00,lunes,0,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,2,0,1.0,Choque,adelantamientos indebidos,0101_0_24,11.0,13.0
San Andres y Providencia,2018-01-16 13:21:00,10,800.0,2017-12-03 05:00:00,domingo,55,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Choque,adelantamientos indebidos,0101_0_10,19.0,5.0
San Andres y Providencia,2018-01-16 13:16:00,1,800.0,2017-12-02 05:00:00,sabado,55,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,0,0,1.0,Volcamiento,maniobras imprudentes,0101_0_1,6.0,18.0
San Andres y Providencia,2018-01-16 13:03:00,26,500.0,2017-12-12 05:00:00,martes,30,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Volcamiento,embriaguez o sustancias alucinogenas,0101_0_26,23.0,1.0
San Andres y Providencia,2018-01-09 16:44:00,26,700.0,2017-11-09 05:00:00,jueves,40,Seca,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,2,2,1.0,Choque,maniobras imprudentes,0101_0_26,17.0,7.0
San Andres y Providencia,2017-12-04 14:01:00,1,900.0,2017-11-03 05:00:00,viernes,53,Seca,Seca y limpia,Plano,Terraplen,Curva Izquierda,Transito normal con precaución,0,0,2,2,1.0,Choque,maniobras imprudentes,0101_0_1,11.0,13.0
San Andres y Providencia,2017-11-21 16:03:00,0,600.0,2017-10-29 05:00:00,domingo,30,Seca,Seca y limpia,Plano,Terraplen,Curva Derecha,Transito normal con precaución,0,0,2,2,1.0,Choque,maniobras imprudentes,0101_0_0,6.0,18.0
San Andres y Providencia,2017-11-07 16:45:00,2,200.0,2017-10-21 05:00:00,sabado,30,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,0,0,1.0,Choque,estacionamiento y senalizacion imprudente,0101_0_2,14.0,10.0
San Andres y Providencia,2017-11-07 16:41:00,22,700.0,2017-10-14 05:00:00,sabado,40,Sol,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Choque,maniobras imprudentes,0101_0_22,6.0,18.0
San Andres y Providencia,2017-11-07 16:34:00,25,100.0,2017-10-13 05:00:00,viernes,30,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,0,0,1,0,1.0,Choque,maniobras imprudentes,0101_0_25,19.0,5.0
